T000001 Cream,Bagels,Oranges,Nuts,Soda
T000936 Cookies,Nuts,Lettuce
T000937 Dip,Soda,Nuts,Juice
T000938 Oranges,Dish_Soap,Shampoo
T000939 Salsa,Beer,Bagels,Toothpaste,Cookies,Frozen_Dinners,Fish,Dish_Soap,Yogurt
T000940 Ice_Cream,Chocolate_Syrup,Deodorant,Beef,Trash_Bags
T000941 Shampoo,Frozen_Dinners,Bagels,Tomatoes
T000942 Butter,Lettuce,Apples,Cookies,Water
T000943 Salsa,Beer,Bread,Croissants
T000944 Detergent,Oranges,Toothpaste
T000945 Coffee,Shampoo,Trash_Bags,Water
T000946 Donuts,Soap,Frozen_Dinners,Bananas
T000947 Coffee,Chips,Cream,Nuts,Bagels,Toothpaste
T000948 Pasta,Tomato_Sauce,Donuts,Juice,Soap,Beef
T000949 Frozen_Pizza,Crackers,Apples
T000950 Shampoo,Lettuce,Yogurt,Paper_Towels,Cream,Nuts
T000951 Ice_Cream,Trash_Bags,Dish_Soap,Deodorant,Fish,Shampoo
T000952 Bread,Jelly,Shampoo,Chicken,Pork,Cream
T000953 Salsa,Chips,Frozen_Pizza,Butter,Bagels
T000954 Turkey,Chocolate
T000955 Turkey,Shampoo,Water,Trash_Bags
T000956 Lettuce,Tomatoes,Paper_Towels,Butter,Soda,Oranges,Turkey,Yogurt,Water
T000957 Chicken,Rice,Beef,Soda,Fish,Paper_Towels,Soap,Bagels
T000958 Bread,Milk,Juice,Deodorant,Croissants,Frozen_Pizza,Crackers,Turkey
T000959 Juice,Tea
T000960 Coffee,Juice,Frozen_Vegetables,Trash_Bags,Cookies,Turkey
T000961 Milk,Deodorant,Soap,Chocolate,Beef
T000962 Bananas,Milk,Trash_Bags,Cookies,Beef,Crackers,Yogurt
T000963 Dish_Soap,Toothpaste,Paper_Towels,Frozen_Dinners
T000964 Tea,Soap,Frozen_Vegetables
T000965 Soda,Nuts,Milk,Chicken
T000966 Frozen_Vegetables,Bananas,Juice
T000967 Fish,Paper_Towels,Dish_Soap,Shampoo,Croissants,Chicken,Soap
T000968 Rice,Chicken,Dish_Soap,Paper_Towels,Ice_Cream,Cookies,Detergent
T000969 Coffee,Paper_Towels
T000970 Ice_Cream,Whipped_Cream,Croissants,Oranges,Frozen_Dinners,Cookies
T000971 Cream,Dish_Soap,Toothpaste
T000972 Frozen_Dinners,Shampoo,Lettuce,Chicken,Coffee,Ice_Cream
T000973 Yogurt,Deodorant
T000974 Rice,Chicken,Water,Coffee
T000975 Milk,Bagels,Deodorant,Oranges
T000976 Juice,Lettuce,Chips,Deodorant,Yogurt,Tomatoes,Frozen_Vegetables
T000977 Soda,Dip,Deodorant,Crackers,Pork,Yogurt,Nuts,Milk
T000978 Chips,Dip,Juice,Frozen_Pizza,Tomatoes,Cream,Soda
T000979 Detergent,Juice,Chips
T000980 Pork,Detergent,Paper_Towels,Yogurt,Muffins,Trash_Bags,Lettuce
T000981 Bananas,Chicken
T000982 Chicken,Rice,Coffee,Soap
T000983 Milk,Butter,Detergent,Paper_Towels,Tea,Water
T000984 Detergent,Croissants
T000985 Shampoo,Toothpaste,Lettuce
T000986 Bagels,Fish
T000987 Chicken,Bagels,Cheese,Apples
T000988 Beer,Chips,Soda,Chocolate,Detergent,Soap
T000989 Coffee,Cream,Bananas,Apples
T000990 Paper_Towels,Shampoo,Juice,Detergent,Tea,Croissants,Cookies,Apples
T000991 Bread,Peanut_Butter,Juice,Chicken,Pork,Cheese,Chips
T000992 Ice_Cream,Dish_Soap,Beef,Nuts,Deodorant
T000993 Pork,Cheese,Apples,Lettuce,Crackers,Cookies
T000994 Cereal,Milk,Paper_Towels,Bananas,Fish,Shampoo,Oranges,Trash_Bags,Dish_Soap,Cream
T000995 Hamburger_Buns,Beef,Lettuce,Frozen_Dinners,Cheese,Yogurt,Juice,Paper_Towels,Bagels,Muffins
T000996 Soda,Frozen_Dinners,Bagels,Bananas
T000997 Oranges,Coffee,Soda,Frozen_Dinners,Lettuce
T000998 Pork,Coffee,Muffins
T000999 Bananas,Frozen_Vegetables,Donuts
T001000 Deodorant,Milk,Cream,Frozen_Dinners,Donuts,Tea
T001001 Apples,Soda
T001002 Cereal,Bananas,Tomatoes,Cream,Soda,Chips,Croissants,Nuts
T001003 Pork,Chips
T001004 Tea,Detergent
T001005 Soap,Detergent,Cream,Shampoo
T001006 Tea,Bananas
T001007 Beer,Chips,Tomatoes,Crackers
T001008 Dish_Soap,Juice,Water,Paper_Towels
T001009 Shampoo,Dish_Soap,Paper_Towels,Crackers
T001010 Soap,Deodorant,Donuts,Bananas
T001011 Rice,Vegetables,Frozen_Vegetables,Chicken,Yogurt
T001012 Shampoo,Bagels,Beef,Dish_Soap,Pork
T001013 Peanut_Butter,Jelly,Bread,Cream
T001014 Frozen_Pizza,Croissants,Frozen_Vegetables,Trash_Bags,Detergent
T001015 Cheese,Pasta,Donuts,Shampoo,Dish_Soap,Coffee,Yogurt
T001016 Bagels
T001017 Fish,Cream,Milk,Tea
T001018 Bananas,Cereal,Paper_Towels,Trash_Bags,Tea
T001019 Bananas,Milk,Detergent,Trash_Bags,Donuts,Tea
T001020 Beef,Milk,Chicken,Dish_Soap,Soda,Juice,Tomatoes,Nuts
T001021 Nuts,Chicken,Soda,Milk,Bread,Frozen_Pizza
T001022 Tomatoes,Deodorant,Water,Paper_Towels,Milk,Bananas
T001023 Detergent,Ice_Cream,Crackers,Pork,Toothpaste,Paper_Towels,Turkey
T001024 Pasta,Cheese,Turkey,Trash_Bags,Deodorant,Crackers,Frozen_Vegetables,Cookies,Dish_Soap
T001025 Water,Crackers
T001026 Bread,Butter,Chips,Tea,Chicken,Yogurt,Crackers
T001027 Toothpaste,Cheese,Crackers,Detergent,Cream
T001028 Chocolate_Syrup,Ice_Cream,Oranges,Water,Donuts,Cream
T001029 Detergent,Paper_Towels,Fish,Deodorant,Milk,Water,Chocolate
T001030 Sugar,Cream,Chips,Tomatoes,Trash_Bags
T001031 Butter,Detergent,Soap,Lettuce
T001032 Cereal,Milk,Coffee,Trash_Bags,Chips,Cookies,Donuts,Bread
T001033 Croissants,Paper_Towels,Yogurt
T001034 Croissants,Muffins
T001035 Ice_Cream,Whipped_Cream,Muffins,Pork,Water,Trash_Bags,Lettuce,Crackers,Frozen_Dinners
T001036 Soda,Chips,Deodorant,Paper_Towels
T001037 Paper_Towels,Bagels,Muffins,Chocolate,Soap,Shampoo
T001038 Juice,Frozen_Pizza,Yogurt,Bread,Tea,Water
T001039 Frozen_Pizza,Croissants
T001040 Milk,Soda
T001041 Salsa,Chips,Croissants,Chocolate,Cream,Detergent,Frozen_Vegetables,Nuts,Frozen_Dinners
T001042 Donuts,Frozen_Dinners,Ice_Cream,Chicken,Shampoo,Apples
T001043 Tea,Chocolate,Chips,Dish_Soap,Ice_Cream
T001044 Croissants,Soda,Turkey,Bananas,Shampoo,Frozen_Dinners
T001045 Oranges,Nuts,Soda,Lettuce,Paper_Towels,Donuts
T001046 Ice_Cream,Whipped_Cream,Cream,Butter
T001047 Tea,Oranges,Nuts,Cream,Crackers,Toothpaste
T001048 Milk,Bread,Pork,Cream
T001049 Sugar,Coffee,Cream,Bread
T001050 Frozen_Pizza,Turkey,Shampoo,Deodorant
T001051 Turkey,Toothpaste,Apples,Chocolate,Oranges,Milk
T001052 Jelly,Bread,Dish_Soap,Apples,Pork,Shampoo,Butter
T001053 Bagels,Apples,Tomatoes,Frozen_Dinners,Beef
T001054 Tea,Yogurt,Trash_Bags,Frozen_Dinners,Toothpaste
T001055 Frozen_Dinners,Donuts,Oranges,Tomatoes,Nuts
T001056 Frozen_Pizza,Frozen_Dinners,Tomatoes,Deodorant
T001057 Milk,Cereal,Frozen_Dinners,Cookies
T001058 Pasta,Tomato_Sauce,Muffins,Coffee,Bread,Chicken,Soap,Fish,Croissants,Turkey
T001059 Milk,Bread,Croissants,Detergent,Frozen_Vegetables,Chocolate,Paper_Towels
T001060 Ice_Cream,Chocolate_Syrup,Toothpaste,Water,Bread,Shampoo,Cookies,Tomatoes
T001061 Cookies,Cheese,Tea,Water,Apples,Dish_Soap
T001062 Tea,Coffee,Deodorant,Frozen_Dinners,Ice_Cream,Cheese
T001063 Nuts,Soda,Paper_Towels
T001064 Dip,Soda,Beef,Soap,Paper_Towels,Ice_Cream
T001065 Jelly,Bread,Dish_Soap,Deodorant,Milk,Toothpaste,Tea
T001066 Chicken,Rice,Juice
T001067 Sugar,Coffee,Fish,Butter,Frozen_Dinners,Soda,Ice_Cream
T001068 Hamburger_Buns,Beef,Nuts,Bread,Donuts
T001069 Soap,Butter
T001070 Juice,Water,Beef,Deodorant,Tea,Coffee,Oranges,Toothpaste
T001071 Toothpaste,Soap,Trash_Bags,Donuts,Lettuce
T001072 Trash_Bags,Apples,Toothpaste,Shampoo,Paper_Towels,Juice,Bread
T001073 Chocolate,Croissants,Coffee
T001074 Trash_Bags,Lettuce,Bananas,Dish_Soap,Coffee,Chicken,Yogurt
T001075 Beer,Chips,Frozen_Vegetables,Detergent,Soda,Beef,Paper_Towels,Cream,Shampoo
T001076 Trash_Bags,Soda,Bagels,Tea,Beef,Dish_Soap,Paper_Towels
T001077 Bagels,Chicken,Soap,Toothpaste
T001078 Bagels,Tea,Bread,Cookies,Milk,Cream,Tomatoes
T001079 Milk,Cheese,Chips,Trash_Bags,Paper_Towels,Chicken
T001080 Bread,Milk,Yogurt,Apples,Oranges,Nuts
T001081 Oranges,Soda,Ice_Cream,Shampoo
T001082 Croissants,Cheese,Milk
T001083 Croissants,Cheese,Soap,Deodorant
T001084 Chocolate,Tomatoes,Pork,Frozen_Pizza
T001085 Dish_Soap,Cheese,Butter,Soap,Tea
T001086 Lettuce,Paper_Towels,Frozen_Pizza,Deodorant,Turkey,Cream
T001087 Donuts,Chocolate,Chicken,Soda,Pork
T001088 Chips,Frozen_Dinners,Deodorant,Paper_Towels
T001089 Milk,Beef,Deodorant
T001090 Cream,Bananas,Cookies
T001091 Deodorant,Water,Soap,Muffins,Frozen_Pizza,Soda
T001092 Donuts,Butter,Croissants,Shampoo,Cream
T001093 Tomatoes,Hamburger_Buns,Apples,Soap,Bread,Beef,Frozen_Vegetables
T001094 Salsa,Chips,Soda,Oranges
T001095 Pork,Lettuce,Paper_Towels,Cream,Crackers,Milk,Deodorant
T001096 Shampoo,Juice,Water,Trash_Bags,Milk
T001097 Soap,Frozen_Dinners,Water,Oranges
T001098 Croissants,Trash_Bags,Cookies
T001099 Chocolate,Detergent
T001100 Bread,Milk,Deodorant
T001101 Yogurt,Cookies
T001102 Ice_Cream,Bread
T001103 Juice,Croissants,Apples,Cream,Frozen_Pizza,Shampoo
T001104 Bread,Beef,Cookies,Crackers,Cream,Toothpaste,Nuts
T001105 Soap,Detergent
T001106 Cheese,Lettuce,Soda,Bagels
T001107 Bananas,Cereal,Oranges,Pork,Bagels,Nuts,Crackers,Detergent,Lettuce,Chocolate
T001108 Chips,Dish_Soap
T001109 Frozen_Dinners,Bagels
T001110 Dip,Chips,Frozen_Dinners,Oranges,Croissants,Paper_Towels,Frozen_Vegetables,Cream,Milk
T001111 Frozen_Vegetables,Tea
T001112 Tea,Chips,Tomatoes,Crackers,Apples
T001113 Crackers,Bagels,Juice
T001114 Bananas,Detergent,Chocolate,Frozen_Dinners
T001115 Ice_Cream,Coffee
T001116 Cheese,Butter,Frozen_Pizza,Chocolate,Oranges,Fish
T001117 Soda,Chips,Cheese,Milk,Beef,Lettuce
T001118 Chocolate_Syrup,Ice_Cream,Milk,Yogurt,Shampoo,Frozen_Vegetables,Butter
T001119 Chicken,Deodorant
T001120 Toothpaste,Frozen_Pizza
T001121 Milk,Cereal,Soap,Chips,Frozen_Dinners,Dish_Soap
T001122 Tomatoes,Beef,Lettuce,Frozen_Vegetables,Juice,Oranges,Frozen_Pizza,Dish_Soap,Detergent
T001123 Chocolate_Syrup,Ice_Cream,Lettuce,Trash_Bags,Muffins
T001124 Cookies,Yogurt,Apples,Water,Soap,Bagels,Dish_Soap,Chips
T001125 Soda,Pork,Deodorant,Tea,Frozen_Dinners,Chips,Dish_Soap,Turkey
T001126 Ice_Cream,Whipped_Cream,Lettuce,Cookies,Water,Nuts,Soda
T001127 Paper_Towels,Frozen_Dinners
T001128 Sugar,Coffee,Frozen_Vegetables,Fish,Croissants,Turkey
T001129 Chocolate_Syrup,Ice_Cream,Nuts,Cheese,Chips,Trash_Bags
T001130 Frozen_Pizza,Tea,Lettuce,Nuts
T001131 Beef,Tomatoes,Lettuce,Bagels,Chocolate
T001132 Beef,Water,Chips,Bread,Cheese,Bagels,Detergent
T001133 Bread,Butter,Dish_Soap,Beef,Soap,Ice_Cream,Nuts,Tomatoes
T001134 Ice_Cream,Whipped_Cream,Trash_Bags,Chicken,Lettuce,Deodorant
T001135 Tomato_Sauce,Cheese,Bananas,Milk,Turkey,Bagels,Chicken,Trash_Bags,Donuts
T001136 Turkey,Muffins,Detergent,Apples,Milk,Cheese
T001137 Pork,Dish_Soap,Fish,Frozen_Dinners,Cheese,Frozen_Pizza
T001138 Bagels,Bananas,Frozen_Dinners,Dish_Soap,Toothpaste,Deodorant,Butter,Detergent
T001139 Turkey,Trash_Bags,Frozen_Dinners,Shampoo,Toothpaste,Donuts
T001140 Bananas,Milk,Paper_Towels,Ice_Cream,Butter,Tea,Frozen_Dinners
T001141 Frozen_Pizza,Tea,Chips,Ice_Cream,Tomatoes,Detergent,Fish
T001142 Pork,Frozen_Vegetables
T001143 Ice_Cream,Chocolate_Syrup,Nuts,Soap,Frozen_Pizza,Paper_Towels,Fish,Apples
T001144 Whipped_Cream,Ice_Cream,Pork,Deodorant
T001145 Turkey,Deodorant,Muffins,Oranges,Tomatoes,Ice_Cream
T001146 Fish,Deodorant,Shampoo
T001147 Turkey,Chocolate,Deodorant,Bread,Yogurt,Paper_Towels,Croissants
T001148 Dip,Soda,Butter,Nuts,Chips,Muffins,Turkey,Toothpaste,Cookies,Bagels
T001149 Frozen_Vegetables,Water,Ice_Cream,Bread
T001150 Bagels,Frozen_Dinners,Frozen_Vegetables
T001151 Chicken,Croissants,Lettuce,Dish_Soap
T001152 Butter,Bread,Nuts,Frozen_Dinners
T001153 Soda,Chips,Pork,Soap,Chocolate,Shampoo,Frozen_Pizza,Muffins,Toothpaste
T001154 Ice_Cream,Chocolate,Oranges,Fish,Coffee
T001155 Salsa,Beer,Fish,Juice,Soda,Detergent,Chips
T001156 Bagels,Beef,Shampoo,Muffins
T001157 Cream,Tea,Trash_Bags,Milk,Frozen_Vegetables
T001158 Ice_Cream,Dish_Soap,Apples,Juice,Shampoo,Cheese,Frozen_Dinners
T001159 Bananas,Dish_Soap,Yogurt,Tea,Toothpaste,Fish
T001160 Beef,Lettuce,Cheese,Frozen_Dinners,Bread,Milk
T001161 Paper_Towels,Crackers,Toothpaste,Apples,Tomatoes
T001162 Apples,Deodorant,Muffins,Soap,Chocolate
T001163 Chips,Toothpaste,Juice,Chicken,Frozen_Vegetables
T001164 Apples,Ice_Cream
T001165 Bananas,Milk,Soda,Detergent,Paper_Towels,Oranges
T001166 Chicken,Oranges,Coffee,Chocolate,Yogurt
T001167 Pasta,Tomato_Sauce,Bagels,Bananas,Nuts,Ice_Cream,Turkey
T001168 Bagels,Detergent,Bananas,Turkey,Oranges
T001169 Deodorant,Apples,Frozen_Pizza,Chips,Cheese
T001170 Donuts,Frozen_Vegetables,Shampoo,Frozen_Pizza,Croissants,Chicken,Crackers,Apples
T001171 Peanut_Butter,Jelly,Muffins,Pork
T001172 Tomato_Sauce,Pasta,Nuts,Muffins,Frozen_Dinners,Frozen_Pizza
T001173 Butter,Milk,Cream,Tomatoes,Tea,Shampoo,Ice_Cream,Apples
T001174 Soda,Soap,Water,Oranges,Fish
T001175 Butter,Bread,Ice_Cream,Apples,Water,Bagels,Donuts,Turkey,Beef
T001176 Beef,Bananas,Frozen_Pizza,Pork,Bagels
T001177 Trash_Bags,Water,Cream,Cookies,Frozen_Pizza
T001178 Water,Cream,Beef,Chocolate,Nuts
T001179 Butter,Bananas,Lettuce
T001180 Peanut_Butter,Bread,Pork,Soap,Bananas
T001181 Tea,Yogurt
T001182 Bread,Milk,Yogurt,Bananas
T001183 Cheese,Pasta,Water,Chocolate,Yogurt,Dish_Soap
T001184 Ice_Cream,Butter,Cream,Bread,Frozen_Pizza,Chocolate
T001185 Croissants,Trash_Bags
T001186 Chips,Nuts,Cheese,Milk,Tomatoes
T001187 Peanut_Butter,Jelly,Muffins,Oranges,Toothpaste
T001188 Bread,Juice,Milk,Cookies,Bagels,Turkey,Detergent
T001189 Apples,Deodorant
T001190 Peanut_Butter,Jelly,Chocolate,Yogurt,Frozen_Dinners,Milk,Detergent,Soda
T001191 Muffins,Frozen_Pizza,Frozen_Dinners,Paper_Towels
T001192 Beef,Croissants,Bananas
T001193 Oranges,Cheese,Toothpaste,Apples,Dish_Soap
T001194 Bananas,Fish,Dish_Soap,Chicken,Frozen_Dinners,Juice,Milk,Lettuce
T001195 Coffee,Sugar,Muffins,Soap,Fish,Oranges
T001196 Chicken,Rice,Bread,Frozen_Dinners,Tomatoes,Yogurt,Apples,Fish,Muffins
T001197 Coffee,Soda,Turkey,Shampoo
T001198 Milk,Nuts,Cheese,Trash_Bags
T001199 Tea,Frozen_Dinners,Cheese
T001200 Paper_Towels,Toothpaste,Apples,Soda,Juice
T001201 Frozen_Vegetables,Cookies,Turkey,Pork,Chips
T001202 Milk,Butter,Paper_Towels,Frozen_Dinners,Frozen_Vegetables,Deodorant,Soap,Tea,Bread
T001203 Coffee,Frozen_Vegetables,Frozen_Pizza,Toothpaste,Chicken,Cookies,Dish_Soap
T001204 Crackers,Pork,Ice_Cream,Tea,Water,Dish_Soap
T001205 Chips,Soda,Paper_Towels,Tomatoes,Ice_Cream
T001206 Frozen_Pizza,Ice_Cream,Butter,Fish,Cheese,Soda,Tea
T001207 Soda,Dip,Cream,Trash_Bags,Shampoo
T001208 Coffee,Cream,Yogurt,Pork,Toothpaste,Soap,Frozen_Pizza,Chocolate,Dish_Soap
T001209 Cream,Sugar,Ice_Cream,Muffins,Chips,Chocolate,Oranges,Soap
T001210 Vegetables,Chicken,Toothpaste,Paper_Towels,Yogurt,Cream
T001211 Deodorant,Lettuce,Frozen_Vegetables,Juice,Cheese
T001212 Beef,Cream,Water,Frozen_Pizza,Cheese,Chips,Yogurt
T001213 Bread,Soap,Donuts
T001214 Juice,Donuts,Chocolate,Turkey
T001215 Hamburger_Buns,Tomatoes,Frozen_Dinners,Deodorant,Chocolate,Trash_Bags
T001216 Butter,Milk,Juice,Apples
T001217 Cream,Coffee,Lettuce,Trash_Bags,Frozen_Pizza
T001218 Dish_Soap,Cookies,Soap
T001219 Tomatoes,Juice,Lettuce,Yogurt,Chicken,Cheese
T001220 Donuts,Detergent,Ice_Cream,Yogurt,Chicken
T001221 Turkey,Beef,Cream,Lettuce
T001222 Pasta,Cheese,Dish_Soap,Bagels,Deodorant,Chicken,Milk
T001223 Cream,Sugar,Lettuce,Chocolate,Tomatoes
T001224 Cream,Coffee,Frozen_Dinners,Nuts,Fish,Butter,Yogurt
T001225 Butter,Cookies,Nuts,Water,Shampoo,Soda
T001226 Lettuce,Hamburger_Buns,Muffins,Butter,Shampoo,Tea,Fish
T001227 Tomatoes,Lettuce,Beef,Frozen_Pizza,Milk
T001228 Trash_Bags,Bagels,Cookies,Dish_Soap,Toothpaste,Tomatoes
T001229 Beef,Bread,Shampoo
T001230 Fish,Cheese,Turkey,Chocolate,Tea,Cookies,Bread
T001231 Butter,Bread,Chocolate,Juice,Lettuce,Frozen_Pizza,Detergent,Cheese
T001232 Bananas,Deodorant,Frozen_Vegetables,Chips,Crackers,Bread,Frozen_Pizza
T001233 Water,Cream,Soda,Oranges,Dish_Soap,Tea,Donuts,Bagels
T001234 Fish,Apples
T001235 Tomatoes,Shampoo,Bagels,Dish_Soap,Deodorant,Tea,Frozen_Vegetables
T001236 Toothpaste,Frozen_Dinners,Oranges
T001237 Dip,Soda,Turkey,Cream
T001238 Milk,Bananas,Bagels,Soap,Paper_Towels,Nuts,Ice_Cream
T001239 Cream,Bananas,Nuts
T001240 Paper_Towels,Nuts,Oranges
T001241 Ice_Cream,Chocolate_Syrup,Chips,Juice,Frozen_Pizza
T001242 Tomatoes,Soap,Paper_Towels,Muffins,Shampoo,Dish_Soap
T001243 Muffins,Chips,Detergent
T001244 Bread,Chocolate,Coffee
T001245 Tomatoes,Yogurt,Chicken
T001246 Apples,Pork,Dish_Soap,Chips
T001247 Water,Frozen_Pizza,Bagels,Milk,Beef,Turkey
T001248 Chicken,Vegetables,Cheese,Nuts,Fish,Yogurt,Crackers,Beef
T001249 Cookies,Frozen_Pizza
T001250 Beef,Tomatoes,Lettuce,Soda,Cream
T001251 Juice,Oranges
T001252 Tomatoes,Hamburger_Buns,Lettuce,Soap,Chicken,Frozen_Dinners,Shampoo,Chips
T001253 Yogurt,Butter,Fish,Beef
T001254 Frozen_Vegetables,Toothpaste,Soap,Fish
T001255 Chocolate,Water
T001256 Cookies,Oranges,Tomatoes
T001257 Bananas,Bagels,Deodorant
T001258 Yogurt,Chocolate,Water,Cheese
T001259 Peanut_Butter,Jelly,Soda,Nuts,Paper_Towels,Fish,Cheese,Cookies
T001260 Croissants,Cookies,Bread,Soap,Trash_Bags,Paper_Towels
T001261 Ice_Cream,Whipped_Cream,Tomatoes,Frozen_Vegetables,Bagels,Dish_Soap,Cream,Tea,Apples
T001262 Chips,Coffee,Chocolate,Muffins,Juice
T001263 Coffee,Water,Crackers
T001264 Cheese,Pasta,Frozen_Vegetables,Bagels
T001265 Soap,Apples,Oranges,Chicken,Muffins
T001266 Bagels,Chicken,Water,Lettuce,Detergent,Crackers
T001267 Detergent,Chips,Ice_Cream,Paper_Towels,Shampoo,Bananas
T001268 Butter,Bread,Coffee,Bananas,Cheese,Dish_Soap,Croissants,Nuts
T001269 Coffee,Oranges,Cheese,Paper_Towels,Soap,Tomatoes
T001270 Beef,Coffee,Butter,Tomatoes,Cheese,Juice
T001271 Croissants,Milk
T001272 Cheese,Tomato_Sauce,Beef,Cookies,Turkey,Pork,Toothpaste,Ice_Cream
T001273 Toothpaste,Frozen_Vegetables,Yogurt,Frozen_Pizza,Milk,Nuts
T001274 Chocolate,Juice,Nuts,Soap,Cream,Toothpaste
T001275 Bananas,Tea
T001276 Coffee,Dish_Soap,Bread
T001277 Soda,Deodorant,Muffins,Cookies,Frozen_Pizza,Milk,Oranges
T001278 Pasta,Cheese,Paper_Towels,Beef,Pork
T001279 Donuts,Chips,Deodorant,Juice,Frozen_Vegetables,Nuts,Cheese,Beef
T001280 Deodorant,Tea,Milk,Juice,Butter,Lettuce,Detergent
T001281 Croissants,Shampoo,Fish,Nuts,Paper_Towels,Coffee,Pork
T001282 Croissants,Milk,Crackers,Cheese,Detergent,Cream,Chicken
T001283 Tomatoes,Lettuce,Beef,Fish,Detergent,Trash_Bags,Bread,Soap,Juice,Yogurt
T001284 Chocolate,Bread,Water,Cheese,Cream,Frozen_Vegetables
T001285 Tea,Donuts,Water,Milk,Croissants,Detergent,Turkey
T001286 Milk,Butter,Frozen_Pizza
T001287 Jelly,Peanut_Butter,Coffee,Chips,Bagels,Chocolate,Crackers,Yogurt
T001288 Deodorant,Detergent
T001289 Turkey,Detergent,Cookies,Bread,Cheese
T001290 Bread,Peanut_Butter,Paper_Towels,Oranges,Apples,Milk,Trash_Bags,Chocolate
T001291 Bagels,Fish
T001292 Ice_Cream,Fish,Frozen_Dinners,Soap,Shampoo,Crackers
T001293 Chocolate_Syrup,Whipped_Cream,Chips,Chicken
T001294 Chicken,Paper_Towels,Dish_Soap,Nuts
T001295 Hamburger_Buns,Beef,Lettuce,Cookies,Juice,Apples,Paper_Towels
T001296 Deodorant,Bagels
T001297 Water,Pork,Bananas,Beef,Crackers
T001298 Turkey,Croissants
T001299 Fish,Lettuce,Crackers,Beef,Chicken
T001300 Frozen_Vegetables,Donuts,Frozen_Pizza,Ice_Cream,Nuts,Cream
T001301 Cheese,Juice,Trash_Bags,Lettuce,Toothpaste,Water
T001302 Donuts,Toothpaste,Yogurt,Trash_Bags,Paper_Towels,Detergent
T001303 Tea,Chicken,Butter,Cheese,Toothpaste
T001304 Detergent,Milk,Tea
T001305 Jelly,Bread,Trash_Bags,Nuts,Milk
T001306 Butter,Milk,Juice,Chocolate,Nuts,Soda
T001307 Paper_Towels,Turkey,Shampoo,Tomatoes,Apples
T001308 Crackers,Muffins,Bread,Frozen_Dinners,Dish_Soap,Shampoo,Trash_Bags
T001309 Lettuce,Tomatoes,Beef,Yogurt,Oranges,Donuts,Turkey
T001310 Bread,Cheese,Detergent,Deodorant,Ice_Cream,Lettuce
T001311 Bananas,Frozen_Pizza,Chocolate,Soda,Nuts
T001312 Oranges,Bread,Water,Ice_Cream
T001313 Frozen_Vegetables,Frozen_Pizza,Butter,Chips
T001314 Frozen_Dinners,Croissants,Frozen_Vegetables,Ice_Cream,Pork
T001315 Shampoo,Tomatoes,Chips,Apples,Butter,Beef
T001316 Cream,Detergent,Bread,Shampoo,Cheese
T001317 Trash_Bags,Bagels,Milk,Coffee
T001318 Muffins,Chocolate,Shampoo,Fish,Cheese,Turkey,Detergent
T001319 Chicken,Rice,Trash_Bags,Water,Cheese,Crackers,Frozen_Dinners,Donuts
T001320 Coffee,Sugar,Fish,Bread,Cream,Lettuce,Bagels,Detergent,Butter,Paper_Towels
T001321 Bread,Oranges,Yogurt,Milk
T001322 Pork,Apples,Juice
T001323 Coffee,Cream,Detergent,Tomatoes,Butter,Water
T001324 Coffee,Bagels,Soda,Frozen_Dinners,Oranges,Yogurt,Chocolate,Shampoo
T001325 Tomatoes,Yogurt,Juice,Chips
T001326 Toothpaste,Paper_Towels,Dish_Soap,Ice_Cream
T001327 Chips,Lettuce,Bread,Tomatoes,Coffee,Frozen_Vegetables,Apples
T001328 Bread,Coffee,Paper_Towels,Frozen_Vegetables
T001329 Bread,Cookies,Croissants,Frozen_Dinners,Lettuce,Ice_Cream,Beef,Yogurt
T001330 Bread,Beef,Chicken,Milk,Deodorant,Soda
T001331 Deodorant,Bagels
T001332 Soap,Dish_Soap
T001333 Sugar,Cream,Crackers,Trash_Bags,Cheese,Pork
T001334 Vegetables,Chicken,Cheese,Muffins,Croissants,Juice,Ice_Cream,Pork,Shampoo
T001335 Sugar,Coffee,Oranges,Frozen_Vegetables
T001336 Trash_Bags,Lettuce,Shampoo,Ice_Cream,Chicken,Bagels,Toothpaste,Donuts
T001337 Chips,Donuts,Bread,Water,Fish,Frozen_Dinners
T001338 Juice,Yogurt,Beef,Butter,Chocolate,Bread
T001339 Bread,Turkey,Shampoo,Frozen_Dinners,Bagels,Detergent
T001340 Tomatoes,Lettuce,Hamburger_Buns,Chips,Muffins,Bread
T001341 Donuts,Soap,Oranges,Deodorant,Lettuce,Chicken
T001342 Beef,Paper_Towels,Bananas,Oranges,Trash_Bags
T001343 Milk,Butter,Tea,Fish,Toothpaste,Lettuce,Soap,Shampoo
T001344 Soda,Chicken,Lettuce,Detergent
T001345 Frozen_Pizza,Toothpaste,Pork
T001346 Toothpaste,Dish_Soap,Pork
T001347 Tomatoes,Chicken,Soap,Turkey,Ice_Cream,Detergent
T001348 Rice,Chicken,Muffins,Ice_Cream,Soap
T001349 Vegetables,Chicken,Coffee,Turkey,Bananas,Detergent,Frozen_Dinners,Chips,Soap
T001350 Jelly,Peanut_Butter,Chicken,Soap,Paper_Towels
T001351 Crackers,Milk,Dish_Soap,Shampoo
T001352 Whipped_Cream,Chocolate_Syrup,Dish_Soap,Juice,Coffee,Ice_Cream,Fish
T001353 Paper_Towels,Ice_Cream,Pork,Juice,Soda,Water,Croissants
